,id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,sender,test
0,996017484963680256,2018-05-14,13:20:48,GMT,441701613,KobenhavnPoliti,70 års fængsel til 9 mænd for organiseret indsmugling og handel med 45 kg hård narkotika og 210 kg skunk #anklager #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/70-aars-faengsel-til-9-maend-for-organiseret-indsmugling-og-handel-med-45-kg-haard-narkotika-og-210-kg-skunk-2506952 …,1,8,56,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/996017484963680256/,Kbh,True
1,995734188077830145,2018-05-13,18:35:04,GMT,441701613,KobenhavnPoliti,Færdselsuheld H.C Andersens Boulevard. Vi er på stedet og relevante myndigheder tilkaldt for udbedring af skader. Indtil da: Som altid vis hensyn og følg anvisningerne fra politipersonalet og skiltningen i øvrigt. #politidk,0,0,16,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/995734188077830145/,Kbh,True
4,995215939460268032,2018-05-12,08:15:44,GMT,441701613,KobenhavnPoliti,"Så er det i morgen det går løs! Trafikken bliver ""nok"" lidt påvirket af afspærringerne, men kig på det fine kort P4 Trafik har vedhæftet, så går det nok alt sammen...#politidk https://twitter.com/P4KBHTRAFIK/status/994824244755353601 …",3,9,36,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/995215939460268032/,Kbh,True
15,992842576259624963,2018-05-05,19:04:50,GMT,441701613,KobenhavnPoliti,"Politimand ramt af vådeskud i vagtstuen i synagogen i krystalgade. En af forsvarets folk kom ved et uheld til at afgive vådeskud, der ramte betjent i armen. Ikke kritisk tilstand. Episoden undersøges nærmere #politidk",20,22,51,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/992842576259624963/,Kbh,True
16,992808072174342149,2018-05-05,16:47:44,GMT,441701613,KobenhavnPoliti,"Vedr. den 9-årige afrikanske dreng. Så kan vi oplyse, at han nu er genforenet med sin mor. #politi.dk",1,1,55,,['#politi'],https://twitter.com/KobenhavnPoliti/status/992808072174342149/,Kbh,True
25,992366222384746496,2018-05-04,11:31:59,GMT,441701613,KobenhavnPoliti,"Ishockey VM start i dag og første kamp kl. 1615. Husk fredagstrafik og kom i god tid, hvis du kører i bil. God kamp #Denmark18 #politidk",0,2,12,,"['#Denmark18', '#politidk']",https://twitter.com/KobenhavnPoliti/status/992366222384746496/,Kbh,True
33,991361091480489984,2018-05-01,16:57:57,GMT,441701613,KobenhavnPoliti,4 personer varetægtsfængslet for ulovlig våbenbesiddelse og kloning af biler #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/4-personer-varetaegtsfaengslet-for-ulovlig-vaabenbesiddelse-og-kloning-af-biler-2494353 …,1,0,18,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991361091480489984/,Kbh,True
36,991263082851823617,2018-05-01,10:28:30,GMT,441701613,KobenhavnPoliti,Dot var naturligvis en henvisning til  https://dinoffentligetransport.dk/  Tak for hjælpen.,0,0,6,,[],https://twitter.com/KobenhavnPoliti/status/991263082851823617/,Kbh,True
39,990940389233385474,2018-04-30,13:06:14,GMT,441701613,KobenhavnPoliti,"Hent din straffeattest digitalt! Gå ind på  http://www.politi.dk/straffeattest  og hent din straffeattest med NemID. Ekspeditionen på Hovedbanegården printer ikke længere straffeattester fra maj måned 2018, men du kan få hjælp til at hente din straffeattest digitalt #politidk pic.twitter.com/emOGHkUrw6",3,7,29,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/990940389233385474/,Kbh,True
43,989914850351570946,2018-04-27,17:11:06,GMT,441701613,KobenhavnPoliti,Afspærringen Søndre Fasanvej udvides pga. politiets arbejde på stedet. Ingen færdsel i begge retninger fra Valby Langgade og Aurikelvej. #politidk,0,0,5,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989914850351570946/,Kbh,True
