,id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,sender,test
2,995527048172130304,2018-05-12,04:51:58,GMT,441701613,KobenhavnPoliti, https://map.copenhagenmarathon.dk/ ,2,1,21,,[],https://twitter.com/KobenhavnPoliti/status/995527048172130304/,Kbh,False
3,995384729020051464,2018-05-12,19:26:27,GMT,441701613,KobenhavnPoliti,Så er John fundet i god behold. Tak til alle der kiggede efter ham. God lørdag aften til alle! #politidk,0,3,105,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/995384729020051464/,Kbh,False
5,994167812921937920,2018-05-09,10:50:52,GMT,441701613,KobenhavnPoliti,"Til orientering.Politiet afholder i dag en redningsøvelse på og omkring Middelgrundsfortet, hvor der benyttes helikoptere og både.#politidk",1,1,15,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/994167812921937920/,Kbh,False
6,994051680244248576,2018-05-08,03:09:23,GMT,441701613,KobenhavnPoliti,Fogedretten i København og Frederiksberg søger skyldnere. Vi har hentet flere i nat og nu sidder de i Vestre Fængsel. Skylder du at kontakte Fogeden så ring selv. Vi har flere på listen #politidk,4,3,45,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/994051680244248576/,Kbh,False
7,993914190468452353,2018-05-08,18:03:03,GMT,441701613,KobenhavnPoliti,"I dag også i luften over fanzonen til VM i ishockey. Beklager hvis vi larmede for meget. Udsigten var formidabel, forlyder det. #politidk pic.twitter.com/EzGgcDEOYw",1,3,52,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/993914190468452353/,Kbh,False
8,993534976900714497,2018-05-07,16:56:12,GMT,441701613,KobenhavnPoliti,Victoria er fundet i god behold. Tak for hjælpen - også med stavning :),1,9,147,,[],https://twitter.com/KobenhavnPoliti/status/993534976900714497/,Kbh,False
9,993531788306866176,2018-05-07,16:43:31,GMT,441701613,KobenhavnPoliti,"Vi leder efter Victoria på 3 år. Hun er lyshåret, iført blomstrede bukser og lilla sweatshirt med hætte.Sidst set på Islands Brygge overfor Halfdansgade. Hvis vi får et billede ligger vi det op.Hjælp os gerne med at finde hende, tak!",6,47,21,,[],https://twitter.com/KobenhavnPoliti/status/993531788306866176/,Kbh,False
10,993485021641101312,2018-05-07,13:37:41,GMT,441701613,KobenhavnPoliti,Tre bandemedlemmer får hårde fængselsstraffe samt psykiatrisk behandling #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/tre-bandemedlemmer-faar-haarde-faengselsstraffe-samt-psykiatrisk-behandling-2500995 …,2,3,30,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/993485021641101312/,Kbh,False
11,993407744152621057,2018-05-07,08:30:37,GMT,441701613,KobenhavnPoliti,Personpåkørsel - Politiet er færdig på stedet og har frigivet togtrafikken. Der kommer ikke yderligere info omkring uheldet. #politidk https://twitter.com/KobenhavnPoliti/status/993394498771345409 …,0,0,8,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/993407744152621057/,Kbh,False
12,993394498771345409,2018-05-07,07:37:59,GMT,441701613,KobenhavnPoliti,Københavns Politi er til Personpåkørsel på Fuglebakkens Station. Giv plads til rednings- og politipersonale på stedet. Vedr. togdrift henvises til DSB.Til pressen: Næste opdatering kl. 1030 #politidk,1,1,5,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/993394498771345409/,Kbh,False
13,993201353102168064,2018-05-06,18:50:30,GMT,441701613,KobenhavnPoliti,"I forbindelse med undersøgelse af mistænkeligt forhold omkring Hovedbanen, blev der i dag anholdt tre mænd. Der fandtes dog ikke grundlag for at foretage yderligere, og indsatsen er nu afsluttet.",4,9,36,,[],https://twitter.com/KobenhavnPoliti/status/993201353102168064/,Kbh,False
14,993092018657288193,2018-05-06,11:36:02,GMT,441701613,KobenhavnPoliti,"Der er forsat VM i ishockey i København, men i dag skal FCK og Brøndby også mødes til fodboldkamp i Telia Parken med kampstart kl. 16.00. Forud for kampen må der påregnes mindre trafikale problemer omkring Telia Parken. Nyd det gode vejr. #politidk",2,5,38,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/993092018657288193/,Kbh,False
17,992794127258521600,2018-05-05,15:52:19,GMT,441701613,KobenhavnPoliti,"Pårørende/forældre til ca. 9 årig dreng søges. Dreng ca. 9 år, østafrikansk udseende, muligvis somalier, iklædt blåternet skjorte og jeans shorts. Henvendelse 114 - P.t. Ikke yderligere oplysninger. #politi.dk",2,10,14,,['#politi'],https://twitter.com/KobenhavnPoliti/status/992794127258521600/,Kbh,False
18,992790515098836992,2018-05-05,15:37:58,GMT,441701613,KobenhavnPoliti,Vi er igen tilstede i fanzonen ved VM i ishockey. Og hvem vi holder med? - dem der holder med os. God kamp til alle og tak for den gode stemning. pic.twitter.com/hQOPXbGzAL,2,5,132,,[],https://twitter.com/KobenhavnPoliti/status/992790515098836992/,Kbh,False
19,992778827385442304,2018-05-05,14:51:32,GMT,441701613,KobenhavnPoliti,"Ørstedsparken fortsat...Vi undersøger fortsat om der er sket en forbrydelse. Til pressen, så har vi ingen yderligere kommentarer. #politidk",1,0,9,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/992778827385442304/,Kbh,False
